id,name,artist,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,uri
1WKHN8ScKUkjb75VlOIVoM,El Compa Ramiro,Aleman,0.704,0.106,82.539,0.509,0.293,0.00183,4,0.719,8,199797,-4.743,0.583,1,spotify:track:1WKHN8ScKUkjb75VlOIVoM
4qgcAsBlpZZ4VPQPv3XeHN,Lo Mejore,Rels B,0.477,0.0869,141.078,0.17,0.631,0.0,4,0.78,4,204670,-8.312,0.669,0,spotify:track:4qgcAsBlpZZ4VPQPv3XeHN
0AtNtseGriGF4sUXaVxBwq,Seremos,Salta La Banca,0.812,0.261,135.972,0.0468,0.106,0.0,4,0.578,5,208187,-6.176,0.802,1,spotify:track:0AtNtseGriGF4sUXaVxBwq
62dl5DE8Moae6tVOgMWNKR,Ora D'aria,Ghali,0.943,0.239,100.0,0.084,0.0437,2.86e-06,4,0.751,0,193560,-5.68,0.915,0,spotify:track:62dl5DE8Moae6tVOgMWNKR
1Acwk0yPCot9AdhTQl4gTl,Neutro,La Vela Puerca,0.892,0.0847,125.941,0.0333,0.00278,0.0,4,0.534,2,223987,-3.547,0.358,1,spotify:track:1Acwk0yPCot9AdhTQl4gTl
3oBJ5L6SEAKXgxuU0eeG7H,Tantas Veces,Aleman,0.719,0.308,81.003,0.373,0.463,0.0,4,0.789,7,273485,-6.099,0.664,1,spotify:track:3oBJ5L6SEAKXgxuU0eeG7H
1LFKSgrJ6GWMck8eZ6CHTm,Mariposas,Mery Granados,0.323,0.119,96.523,0.0301,0.715,0.0,4,0.655,7,229333,-8.541,0.261,1,spotify:track:1LFKSgrJ6GWMck8eZ6CHTm
3wPmnfALFXL8sAXUP7h1QK,El Corazón Sobre Todo - En Vivo,Estelares,0.816,0.986,137.05,0.039,0.161,8.48e-05,4,0.54,2,250427,-4.772,0.322,1,spotify:track:3wPmnfALFXL8sAXUP7h1QK
1pq2DATWDPmsPRGH8OB3sR,Blue,Rels B,0.809,0.102,144.999,0.374,0.503,0.0,4,0.792,9,209659,-6.079,0.864,0,spotify:track:1pq2DATWDPmsPRGH8OB3sR
7GOFNyZcCTwm1SsC5jOFpA,I Love You,Ghali,0.634,0.33,103.51,0.0559,0.119,0.0,4,0.532,0,177836,-6.981,0.633,0,spotify:track:7GOFNyZcCTwm1SsC5jOFpA
3XUKbJ8zAkjDGiQPp38Lri,Sopra la media,J-AX,0.937,0.35,167.946,0.146,0.00711,0.0,4,0.576,4,217573,-3.848,0.649,1,spotify:track:3XUKbJ8zAkjDGiQPp38Lri
